Artista,Titolo,Anno,data_info,Stato
RICHARD DIEBENKORN,Senza titolo #11,1983,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Figura maschile seduta,1950,CIRCA,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,"Contenitore (""aduno koro"")",1900,CIRCA,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Recipiente con coperchio,1950,CIRCA,OPERA NON ESPOSTA
PIERO DORAZIO,Unitas,1965,TRUE,OPERA NON ESPOSTA
PIERO DORAZIO,Senza titolo,1982,CIRCA,OPERA NON ESPOSTA
PIERO DORAZIO,Senza titolo,1982,CIRCA,OPERA NON ESPOSTA
PIERO DORAZIO,Senza titolo,1982,CIRCA,OPERA NON ESPOSTA
PIERO DORAZIO,Senza titolo,1982,CIRCA,OPERA NON ESPOSTA
PIERO DORAZIO,Senza titolo,1982,CIRCA,OPERA NON ESPOSTA
JEAN DUBUFFET,Ritratto del soldato Lucien Geominne,1950,TRUE,OPERA ESPOSTA
JEAN DUBUFFET,Brunetta dal volto carnoso (Testa di donna),1951,TRUE,OPERA ESPOSTA
JEAN DUBUFFET,Mucca,1954,TRUE,OPERA ESPOSTA
JEAN DUBUFFET,La poltrona II,1966,TRUE,OPERA NON ESPOSTA
JEAN DUBUFFET,Scala VII,1967,TRUE,OPERA NON ESPOSTA
JEAN DUBUFFET,Logogrifo di pale,1969,TRUE,OPERA NON ESPOSTA
JEAN DUBUFFET,Memoration XXIII (D148),1979,TRUE,OPERA NON ESPOSTA
MARCEL DUCHAMP,"Nudo (schizzo), Giovane triste in treno",1912,CIRCA,OPERA NON ESPOSTA
MARCEL DUCHAMP,da o di Marcel Duchamp o Rrose Sélavy (Scatola in una valigia),1941,TRUE,OPERA NON ESPOSTA
RAYMOND DUCHAMP-VILLON,Il cavallo,1914,TRUE,OPERA ESPOSTA
DUŠAN DŽAMONJA,Totem,1959,TRUE,OPERA NON ESPOSTA
MAX ERNST,Piccola macchina costruita da minimax dadamax in persona,1920,CIRCA,OPERA NON ESPOSTA
MAX ERNST,Il bacio,1927,TRUE,OPERA NON ESPOSTA
MAX ERNST,La foresta,1928,CIRCA,OPERA NON ESPOSTA
MAX ERNST,"Mare, sole, terremoto",1931,TRUE,OPERA ESPOSTA
MAX ERNST,Il postino Cheval,1932,TRUE,OPERA NON ESPOSTA
MAX ERNST,Coppia zoomorfica,1933,TRUE,OPERA NON ESPOSTA
MAX ERNST,Giardino acchiappa aeroplani,1936,CIRCA,OPERA ESPOSTA
MAX ERNST,La città intera,1937,CIRCA,OPERA ESPOSTA
MAX ERNST,"""L'antipapa""",1941,CIRCA,OPERA ESPOSTA
MAX ERNST,L'antipapa,1942,CIRCA,OPERA ESPOSTA
MAX ERNST,Giovane donna a forma di fiore,1944,TRUE,OPERA ESPOSTA
MAX ERNST,Per le strade di Atene,1960,TRUE,OPERA ESPOSTA
CLAIRE FALKENSTEIN,Senza titolo,1956,CIRCA,OPERA NON ESPOSTA
CLAIRE FALKENSTEIN,Cancelli di entrata al palazzo,1961,TRUE,OPERA ESPOSTA
PERICLE FAZZINI,Grande donna seduta (Sibilla),1947,TRUE,OPERA ESPOSTA
JOHN FERREN,Tempora,1937,TRUE,OPERA ESPOSTA
LEONOR FINI,La pastorella delle sfingi,1941,TRUE,OPERA NON ESPOSTA
BARRY FLANAGAN,Omaggio,2001,TRUE,OPERA NON ESPOSTA
LUCIO FONTANA,Concetto spaziale,1951,TRUE,OPERA ESPOSTA
LUCIO FONTANA,Studio per Soffitto,1955,CIRCA,OPERA NON ESPOSTA
LUCIO FONTANA,Concetto Spaziale,1955,TRUE,OPERA NON ESPOSTA
LUCIO FONTANA,Concetto Spaziale,1957,TRUE,OPERA ESPOSTA
LUCIO FONTANA,"Concetto spaziale, Attese",1965,TRUE,OPERA NON ESPOSTA
SAM FRANCIS,Senza titolo,1958,CIRCA,OPERA ESPOSTA
SAM FRANCIS,Senza titolo,1964,TRUE,OPERA NON ESPOSTA
GISÈLE FREUND,Herbert Read e Peggy Guggenheim,1939,TRUE,OPERA NON ESPOSTA
ALBERTO GIACOMETTI,Modello per una piazza,1932,CIRCA,OPERA NON ESPOSTA
ALBERTO GIACOMETTI,Donna che cammina,1936,TRUE,OPERA ESPOSTA
ALBERTO GIACOMETTI,Donna che cammina,1936,TRUE,OPERA NON ESPOSTA
ALBERTO GIACOMETTI,"Donna in piedi (Donna ""Leoni"")",1947,TRUE,OPERA ESPOSTA
ALBERTO GIACOMETTI,Piazza,1948,CIRCA,OPERA NON ESPOSTA
ROSALDA GILARDI,Presenze,1967,CIRCA,OPERA ESPOSTA
ALBERT GLEIZES,Donna con animali (Madame Raymond Duchamp-Villon),1914,TRUE,OPERA ESPOSTA
ANDY GOLDSWORTHY,Palla di neve,2002,TRUE,OPERA ESPOSTA
JULIO GONZÁLEZ,'Monsieur'' Cactus (L'uomo cactus I),1939,TRUE,OPERA NON ESPOSTA
ARSHILE GORKY,Senza titolo,1944,TRUE,OPERA ESPOSTA
ADOLPH GOTTLIEB,Fluttuante,1945,TRUE,OPERA NON ESPOSTA
ADOLPH GOTTLIEB,Senza titolo,1965,TRUE,OPERA ESPOSTA
EZIO GRIBAUDO,Omaggio a Peggy Guggenheim,1965,TRUE,OPERA NON ESPOSTA
JUAN GRIS,Bottiglia di rum e giornale,1914,TRUE,OPERA ESPOSTA
GEORGE GROSZ,Toilette,1927,TRUE,OPERA NON ESPOSTA
PHILIP GUSTON,Natura morta,1962,TRUE,OPERA ESPOSTA
PHILIP GUSTON,Natura morta,1964,TRUE,OPERA ESPOSTA
ALBERTO GUZMÁN,Partizione percuotente,1965,TRUE,OPERA NON ESPOSTA
DAVID HARE,Gabbia lunare (Finestre delle lune),1951,CIRCA,OPERA NON ESPOSTA
GRACE HARTIGAN,Irlanda,1958,TRUE,OPERA ESPOSTA
HANS HARTUNG,T 1962-E15,1962,TRUE,OPERA NON ESPOSTA
RAOUL HAUSMANN,Senza titolo,1919,TRUE,OPERA ESPOSTA
STANLEY WILLIAM HAYTER,Sconfitta,1939,CIRCA,OPERA ESPOSTA
JEAN HÉLION,Equilibrio,1934,CIRCA,OPERA NON ESPOSTA
JEAN HÉLION,Composizione,1935,TRUE,OPERA NON ESPOSTA
JEAN HÉLION,Fille au mannequin,1944,TRUE,OPERA NON ESPOSTA
BARBARA HEPWORTH,Forma unica (Chûn Quoit),1961,TRUE,OPERA ESPOSTA
JENE HIGHSTEIN,Studio per Pipes,1975,TRUE,OPERA NON ESPOSTA
JENE HIGHSTEIN,Grumo d'argilla,1978,TRUE,OPERA NON ESPOSTA
JENE HIGHSTEIN,Senza titolo,1978,TRUE,OPERA NON ESPOSTA
MORRIS HIRSHFIELD,Due donne davanti a uno specchio,1943,TRUE,OPERA NON ESPOSTA
HANS HOFMANN,Primavera a Cape Cod,1961,TRUE,OPERA ESPOSTA
JENNY HOLZER,Survival: vai dove le persone dormono e...,1989,TRUE,OPERA ESPOSTA
JENNY HOLZER,Panchina,2001,TRUE,OPERA ESPOSTA
JENNY HOLZER,Survival: Savor Kindness Because Cruelty is Always Possible Later,2003,TRUE,OPERA ESPOSTA
JENNY HOLZER,The Ambiguities of My Own Desires…,2005,TRUE,OPERA NON ESPOSTA
FRIEDENSREICH HUNDERTWASSER,Casa che protegge – Die Schutzhütte,1960,TRUE,OPERA NON ESPOSTA
BRYAN HUNT,Primo scavo,1979,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Gancio di sospensione,1915,CIRCA,OPERA NON ESPOSTA
GWYTHER IRWIN,Serendipity 2,1957,TRUE,OPERA NON ESPOSTA
ARTISTA NON RICONOSCIUTO,Wagōjin,NULL,CIRCA,OPERA NON ESPOSTA
MARCEL JEAN,Profilo della memoria,1942,CIRCA,OPERA NON ESPOSTA
MARCEL JEAN,Profilo della memoria,1942,CIRCA,OPERA NON ESPOSTA
MARCEL JEAN,Profilo della memoria,1942,CIRCA,OPERA NON ESPOSTA
MARCEL JEAN,Profilo della memoria,1942,CIRCA,OPERA NON ESPOSTA
MARCEL JEAN,Profilo della memoria,1942,CIRCA,OPERA NON ESPOSTA
